Group,Group Description,Name,Hex,Decimal
pink,Pink colors,Pink,FF C0 CB,255 192 203
pink,Pink colors,LightPink,FF B6 C1,255 182 193
pink,Pink colors,HotPink,FF 69 B4,255 105 180
pink,Pink colors,DeepPink,FF 14 93,255 20 147
pink,Pink colors,PaleVioletRed,DB 70 93,219 112 147
pink,Pink colors,MediumVioletRed,C7 15 85,199 21 133
red,Red colors,LightSalmon,FF A0 7A,255 160 122
red,Red colors,Salmon,FA 80 72,250 128 114
red,Red colors,DarkSalmon,E9 96 7A,233 150 122
red,Red colors,LightCoral,F0 80 80,240 128 128
red,Red colors,IndianRed,CD 5C 5C,205 92 92
red,Red colors,Crimson,DC 14 3C,220 20 60
red,Red colors,Firebrick,B2 22 22,178 34 34
red,Red colors,DarkRed,8B 00 00,139 0 0
red,Red colors,Red,FF 00 00,255 0 0
orange,Orange colors,OrangeRed,FF 45 00,255 69 0
orange,Orange colors,Tomato,FF 63 47,255 99 71
orange,Orange colors,Coral,FF 7F 50,255 127 80
orange,Orange colors,DarkOrange,FF 8C 00,255 140 0
orange,Orange colors,Orange,FF A5 00,255 165 0
yellow,Yellow colors,Yellow,FF FF 00,255 255 0
yellow,Yellow colors,LightYellow,FF FF E0,255 255 224
yellow,Yellow colors,LemonChiffon,FF FA CD,255 250 205
yellow,Yellow colors,LightGoldenrodYellow ,FA FA D2,250 250 210
yellow,Yellow colors,PapayaWhip,FF EF D5,255 239 213
yellow,Yellow colors,Moccasin,FF E4 B5,255 228 181
yellow,Yellow colors,PeachPuff,FF DA B9,255 218 185
yellow,Yellow colors,PaleGoldenrod,EE E8 AA,238 232 170
yellow,Yellow colors,Khaki,F0 E6 8C,240 230 140
yellow,Yellow colors,DarkKhaki,BD B7 6B,189 183 107
yellow,Yellow colors,Gold,FF D7 00,255 215 0
brown,Brown colors,Cornsilk,FF F8 DC,255 248 220
brown,Brown colors,BlanchedAlmond,FF EB CD,255 235 205
brown,Brown colors,Bisque,FF E4 C4,255 228 196
brown,Brown colors,NavajoWhite,FF DE AD,255 222 173
brown,Brown colors,Wheat,F5 DE B3,245 222 179
brown,Brown colors,Burlywood,DE B8 87,222 184 135
brown,Brown colors,Tan,D2 B4 8C,210 180 140
brown,Brown colors,RosyBrown,BC 8F 8F,188 143 143
brown,Brown colors,SandyBrown,F4 A4 60,244 164 96
brown,Brown colors,Goldenrod,DA A5 20,218 165 32
brown,Brown colors,DarkGoldenrod,B8 86 0B,184 134 11
brown,Brown colors,Peru,CD 85 3F,205 133 63
brown,Brown colors,Chocolate,D2 69 1E,210 105 30
brown,Brown colors,SaddleBrown,8B 45 13,139 69 19
brown,Brown colors,Sienna,A0 52 2D,160 82 45
brown,Brown colors,Brown,A5 2A 2A,165 42 42
brown,Brown colors,Maroon,80 00 00,128 0 0
green,Green colors,DarkOliveGreen,55 6B 2F, 85 107 47
green,Green colors,Olive,80 80 00,128 128 0
green,Green colors,OliveDrab,6B 8E 23,107 142 35
green,Green colors,YellowGreen,9A CD 32,154 205 50
green,Green colors,LimeGreen,32 CD 32, 50 205 50
green,Green colors,Lime,00 FF 00, 0 255 0
