Acid Splash	0	Sorcerer Wizard
Aid	2	Cleric Paladin
Alarm	1	Ranger Wizard
Alter Self	2	Sorcerer Wizard
Animal Friendship	1	Bard Druid Ranger
Animal Messenger	2	Bard Druid Ranger
Animal Shapes	8	Druid
Animate Dead	3	Cleric Wizard
Animate Objects	5	Bard Sorcerer Wizard
Antilife Shell	5	Druid
Antimagic Field	8	Cleric Wizard
Antipathy/Sympathy	8	Druid Wizard
Arcane Eye	4	Wizard
Arcane Gate	6	Sorcerer Warlock Wizard
Arcane Lock	2	Wizard
Armor of Agathys	1	Warlock
Arms of Hadar	1	Warlock
Astral Projection	9	Cleric Warlock Wizard
Augury	2	Cleric
Aura of Life	4	Paladin
Aura of Purity	4	Paladin
Aura of Vitality	3	Paladin
Awaken	5	Bard Druid
Bane	1	Bard Cleric
Banishing Smite	5	Paladin
Banishment	4	Cleric Paladin Sorcerer Warlock Wizard
Barkskin	2	Druid Ranger
Beacon of Hope	3	Cleric
Beast Sense	2	Druid Ranger
Bestow Curse	3	Bard Cleric Wizard
Bigby’s Hand	5	Wizard
Blade Barrier	6	Cleric
Blade Ward	0	Bard Sorcerer Warlock Wizard
Bless	1	Cleric Paladin
Blight	4	Druid Sorcerer Warlock Wizard
Blinding Smite	3	Paladin
Blindness/Deafness	2	Bard Cleric Sorcerer Wizard
Blink	3	Sorcerer Wizard
Blur	2	Sorcerer Wizard
Branding Smite	2	Paladin
Burning Hands	1	Sorcerer Wizard
Call Lightning	3	Druid
Calm Emotions	2	Bard Cleric
Chain Lightning	6	Sorcerer Wizard
Charm Person	1	Bard Druid Sorcerer Warlock Wizard
Chill Touch	0	Sorcerer Warlock Wizard
Chromatic Orb	1	Sorcerer Wizard
Circle of Death	6	Sorcerer Warlock Wizard
Circle of Power	5	Paladin
Clairvoyance	3	Bard Cleric Sorcerer Wizard
Clone	8	Wizard
Cloud of Daggers	2	Bard Sorcerer Warlock Wizard
CloudkilI	5	Wizard
Cloudkill	5	Sorcerer
Color Spray	1	Sorcerer Wizard
Command	1	Cleric Paladin
Commune	5	Cleric
Commune with Nature	5	Druid Ranger
Compelled Duel	1	Paladin
Comprehend Languages	1	Bard Sorcerer Warlock Wizard
Compulsion	4	Bard
Cone of Cold	5	Sorcerer Wizard
Confusion	4	Bard Druid Sorcerer Wizard
Conjure Animals	3	Druid Ranger
Conjure Barrage	3	Ranger
Conjure Celestial	7	Cleric
Conjure Elemental	5	Druid Wizard
